user_id,session_id,event_time,event_type,device_type,traffic_source,region,product_category,order_value
U00001,S00001,2026-01-14 13:50:00,product_view,Mobile,Paid Search,West,Sports,
U00001,S00001,2026-01-14 13:51:22,product_view,Mobile,Paid Search,West,Home,
U00001,S00001,2026-01-14 13:52:48,product_view,Mobile,Paid Search,West,Home,
U00001,S00001,2026-01-14 13:54:41,product_view,Mobile,Paid Search,West,Home,
U00001,S00001,2026-01-14 13:57:15,product_view,Mobile,Paid Search,West,Home,
U00002,S00002,2026-01-27 15:07:00,product_view,Tablet,Organic Search,North,Electronics,
U00002,S00002,2026-01-27 15:08:42,product_view,Tablet,Organic Search,North,Sports,
U00003,S00003,2026-01-05 23:14:00,product_view,Mobile,Social,South,Beauty,
U00003,S00003,2026-01-05 23:15:00,product_view,Mobile,Social,South,Beauty,
U00003,S00003,2026-01-05 23:17:06,product_view,Mobile,Social,South,Beauty,
U00003,S00003,2026-01-05 23:17:47,product_view,Mobile,Social,South,Beauty,
U00003,S00003,2026-01-05 23:19:49,product_view,Mobile,Social,South,Beauty,
U00004,S00004,2026-01-03 20:41:00,product_view,Mobile,Paid Search,West,Electronics,
U00004,S00004,2026-01-03 20:42:43,product_view,Mobile,Paid Search,West,Sports,
U00004,S00004,2026-01-03 20:45:31,product_view,Mobile,Paid Search,West,Sports,
U00004,S00004,2026-01-03 20:46:14,product_view,Mobile,Paid Search,West,Beauty,
U00004,S00004,2026-01-03 20:48:38,product_view,Mobile,Paid Search,West,Beauty,
U00004,S00004,2026-01-03 20:50:30,product_view,Mobile,Paid Search,West,Beauty,
U00005,S00005,2026-01-17 15:32:00,product_view,Desktop,Organic Search,East,Home,
U00005,S00005,2026-01-17 15:32:59,product_view,Desktop,Organic Search,East,Home,
U00006,S00006,2026-01-03 07:11:00,product_view,Desktop,Referral,Central,Sports,
U00006,S00006,2026-01-03 07:12:57,product_view,Desktop,Referral,Central,Home,
U00006,S00006,2026-01-03 07:13:43,product_view,Desktop,Referral,Central,Home,
U00006,S00006,2026-01-03 07:15:55,product_view,Desktop,Referral,Central,Home,
U00006,S00006,2026-01-03 07:18:18,product_view,Desktop,Referral,Central,Home,
U00006,S00006,2026-01-03 07:20:51,product_view,Desktop,Referral,Central,Home,
U00006,S00006,2026-01-03 07:22:47,product_view,Desktop,Referral,Central,Sports,
U00006,S00006,2026-01-03 07:25:35,product_view,Desktop,Referral,Central,Sports,
U00007,S00007,2026-01-18 20:59:00,product_view,Desktop,Email,East,Sports,
U00007,S00007,2026-01-18 20:59:48,product_view,Desktop,Email,East,Home,
U00007,S00007,2026-01-18 21:00:57,product_view,Desktop,Email,East,Sports,
U00007,S00007,2026-01-18 21:02:16,product_view,Desktop,Email,East,Sports,
U00007,S00007,2026-01-18 21:04:48,product_view,Desktop,Email,East,Electronics,
U00008,S00008,2026-01-18 12:09:00,product_view,Mobile,Organic Search,Central,Electronics,
U00008,S00008,2026-01-18 12:10:07,product_view,Mobile,Organic Search,Central,Electronics,
U00009,S00009,2026-01-12 13:14:00,product_view,Mobile,Paid Search,East,Home,
U00009,S00009,2026-01-12 13:14:44,product_view,Mobile,Paid Search,East,Sports,
U00009,S00009,2026-01-12 13:17:31,product_view,Mobile,Paid Search,East,Sports,
U00009,S00009,2026-01-12 13:19:36,product_view,Mobile,Paid Search,East,Sports,
U00009,S00009,2026-01-12 13:21:14,product_view,Mobile,Paid Search,East,Sports,
U00009,S00009,2026-01-12 13:23:23,product_view,Mobile,Paid Search,East,Sports,
U00009,S00009,2026-01-12 13:24:54,product_view,Mobile,Paid Search,East,Sports,
U00010,S00010,2026-01-22 09:11:00,product_view,Mobile,Direct,Central,Home,
U00010,S00010,2026-01-22 09:11:48,product_view,Mobile,Direct,Central,Home,
U00011,S00011,2026-01-30 22:35:00,product_view,Desktop,Social,Central,Fashion,
U00011,S00011,2026-01-30 22:37:40,product_view,Desktop,Social,Central,Fashion,
U00012,S00012,2026-01-11 15:01:00,product_view,Tablet,Social,South,Sports,
U00012,S00012,2026-01-11 15:03:53,product_view,Tablet,Social,South,Sports,
U00012,S00012,2026-01-11 15:06:42,product_view,Tablet,Social,South,Sports,
U00013,S00013,2026-01-19 22:30:00,product_view,Mobile,Referral,Central,Sports,
U00013,S00013,2026-01-19 22:32:20,product_view,Mobile,Referral,Central,Sports,
U00013,S00013,2026-01-19 22:33:15,product_view,Mobile,Referral,Central,Sports,
U00013,S00013,2026-01-19 22:34:44,product_view,Mobile,Referral,Central,Sports,
U00013,S00013,2026-01-19 22:36:16,product_view,Mobile,Referral,Central,Sports,
