feature,coefficient,absolute_importance
numeric__early_duration_min,0.8121747209883999,0.8121747209883999
categorical__traffic_source_Social,-0.7242752278865994,0.7242752278865994
numeric__early_event_types,0.443394001762916,0.443394001762916
categorical__traffic_source_Direct,0.3992655990231097,0.3992655990231097
categorical__traffic_source_Email,0.37381557140546773,0.37381557140546773
categorical__device_type_Mobile,-0.20266083242740476,0.20266083242740476
categorical__region_South,-0.2021789262217512,0.2021789262217512
categorical__traffic_source_Paid Search,-0.19040924464127476,0.19040924464127476
categorical__traffic_source_Organic Search,-0.1415696685498711,0.1415696685498711
categorical__region_East,-0.12663856468891477,0.12663856468891477
numeric__early_events,0.12510125678205355,0.12510125678205355
categorical__region_West,0.09569018596647108,0.09569018596647108
categorical__device_type_Tablet,-0.0514994212786995,0.0514994212786995
categorical__traffic_source_Referral,0.044068215100879105,0.044068215100879105
numeric__early_product_views,-0.03877662455100889,0.03877662455100889
categorical__region_Central,-0.030472422253795803,0.030472422253795803
categorical__region_North,0.024494971649703292,0.024494971649703292
categorical__device_type_Desktop,0.01505549815781637,0.01505549815781637
numeric__early_unique_categories,0.0026797345109799203,0.0026797345109799203
