session_id,early_events,early_product_views,early_unique_categories,early_event_types,device_type,traffic_source,region,early_duration_min,converted
S00001,4,4,2,1,Mobile,Paid Search,West,4.683333333333334,0
S00002,2,2,2,1,Tablet,Organic Search,North,1.7,0
S00003,4,4,1,1,Mobile,Social,South,3.783333333333333,0
S00004,3,3,2,1,Mobile,Paid Search,West,4.516666666666667,0
S00005,2,2,1,1,Desktop,Organic Search,East,0.9833333333333333,0
S00006,4,4,2,1,Desktop,Referral,Central,4.916666666666667,0
S00007,4,4,2,1,Desktop,Email,East,3.2666666666666666,0
S00008,2,2,1,1,Mobile,Organic Search,Central,1.1166666666666667,0
S00009,3,3,2,1,Mobile,Paid Search,East,3.5166666666666666,0
S00010,2,2,1,1,Mobile,Direct,Central,0.8,0
S00011,2,2,1,1,Desktop,Social,Central,2.6666666666666665,0
S00012,2,2,1,1,Tablet,Social,South,2.8833333333333333,0
S00013,4,4,1,1,Mobile,Referral,Central,4.733333333333333,0
S00014,3,3,1,1,Desktop,Email,Central,4.233333333333333,0
S00015,2,2,1,1,Desktop,Email,South,0.7833333333333333,0
S00016,1,1,1,1,Desktop,Social,West,0.0,0
S00017,3,3,2,1,Desktop,Organic Search,North,4.1,0
S00018,3,3,1,1,Mobile,Paid Search,Central,4.05,0
S00019,1,1,1,1,Mobile,Paid Search,North,0.0,0
S00020,4,3,1,2,Desktop,Organic Search,North,3.25,1
S00021,3,3,2,1,Mobile,Direct,East,4.316666666666666,1
S00022,4,3,2,2,Desktop,Social,East,3.25,0
S00023,1,1,1,1,Desktop,Social,Central,0.0,0
S00024,2,2,1,1,Mobile,Organic Search,Central,1.2666666666666666,0
S00025,2,2,1,1,Mobile,Organic Search,East,1.8333333333333333,0
S00026,3,3,2,1,Mobile,Direct,North,2.2,0
S00027,4,4,2,1,Desktop,Social,West,4.533333333333333,0
S00028,1,1,1,1,Mobile,Organic Search,East,0.0,0
S00029,3,3,1,1,Mobile,Social,East,4.716666666666667,0
S00030,4,4,2,1,Desktop,Organic Search,South,2.033333333333333,0
S00031,3,2,1,2,Mobile,Paid Search,East,2.4,0
S00032,2,2,1,1,Desktop,Direct,South,2.466666666666667,1
S00033,2,2,1,1,Desktop,Social,West,2.816666666666667,0
S00034,3,3,1,1,Tablet,Organic Search,East,4.85,0
S00035,3,3,1,1,Tablet,Paid Search,Central,3.0833333333333335,0
S00036,3,3,1,1,Mobile,Organic Search,East,4.15,0
S00037,3,3,2,1,Desktop,Social,South,4.2,0
S00038,2,2,1,1,Desktop,Social,Central,1.4833333333333334,0
S00039,3,2,1,2,Mobile,Organic Search,East,3.566666666666667,0
S00040,4,4,1,1,Mobile,Social,South,4.583333333333333,0
S00041,3,3,1,1,Desktop,Paid Search,West,3.35,0
S00042,3,3,2,1,Mobile,Organic Search,South,3.8833333333333333,0
S00043,4,4,2,1,Desktop,Direct,Central,4.45,0
S00044,3,3,1,1,Tablet,Organic Search,East,3.85,0
S00045,3,3,1,1,Desktop,Paid Search,West,4.75,0
S00046,3,3,1,1,Mobile,Social,North,4.766666666666667,0
S00047,3,3,1,1,Desktop,Organic Search,South,3.7333333333333334,0
S00048,3,2,1,2,Mobile,Email,Central,4.833333333333333,1
S00049,2,2,1,1,Mobile,Social,Central,1.1,0
S00050,1,1,1,1,Desktop,Referral,North,0.0,0
S00051,2,2,1,1,Tablet,Email,South,2.85,0
S00052,3,3,1,1,Mobile,Referral,South,4.066666666666666,0
S00053,3,3,1,1,Tablet,Paid Search,West,3.05,0
S00054,4,4,1,1,Tablet,Direct,West,3.933333333333333,0
S00055,3,3,1,1,Mobile,Social,West,2.9833333333333334,0
S00056,4,3,1,2,Tablet,Email,East,3.433333333333333,0
S00057,2,2,1,1,Desktop,Email,Central,2.8333333333333335,0
S00058,4,4,1,1,Desktop,Email,East,4.283333333333333,0
S00059,2,2,1,1,Desktop,Social,North,2.8666666666666667,0
S00060,3,3,2,1,Desktop,Social,East,4.383333333333334,0
S00061,2,2,2,1,Mobile,Direct,Central,2.533333333333333,0
S00062,3,3,1,1,Desktop,Direct,West,3.5166666666666666,0
S00063,2,1,1,2,Mobile,Email,East,3.933333333333333,0
S00064,3,2,1,2,Desktop,Paid Search,West,2.283333333333333,1
S00065,4,3,1,2,Desktop,Organic Search,Central,3.3,1
S00066,2,2,1,1,Mobile,Social,East,1.25,0
S00067,3,3,1,1,Desktop,Email,South,3.7666666666666666,0
S00068,4,4,2,1,Mobile,Direct,Central,3.5,0
S00069,3,3,1,1,Desktop,Organic Search,Central,3.9166666666666665,1
S00070,3,2,1,2,Tablet,Organic Search,South,3.933333333333333,0
S00071,3,3,1,1,Mobile,Referral,East,2.5833333333333335,0
S00072,3,3,1,1,Desktop,Direct,East,3.933333333333333,0
S00073,1,1,1,1,Desktop,Organic Search,North,0.0,0
S00074,3,3,1,1,Mobile,Email,Central,3.2,1
S00075,1,1,1,1,Mobile,Direct,East,0.0,0
S00076,1,1,1,1,Mobile,Organic Search,Central,0.0,0
S00077,5,5,1,1,Mobile,Direct,North,4.716666666666667,0
S00078,1,1,1,1,Desktop,Paid Search,East,0.0,0
S00079,2,2,1,1,Desktop,Paid Search,North,1.8666666666666667,0
S00080,3,3,2,1,Desktop,Direct,West,3.683333333333333,1
S00081,4,3,2,2,Mobile,Email,East,3.3833333333333333,0
S00082,3,3,2,1,Mobile,Referral,West,4.85,1
S00083,3,3,1,1,Desktop,Direct,North,3.05,0
S00084,3,3,1,1,Desktop,Direct,South,4.2,0
S00085,3,3,1,1,Desktop,Organic Search,North,3.783333333333333,0
S00086,3,2,2,2,Desktop,Email,South,4.283333333333333,0
S00087,1,1,1,1,Mobile,Social,West,0.0,0
S00088,2,2,1,1,Mobile,Organic Search,East,0.5666666666666667,0
S00089,3,2,1,2,Tablet,Paid Search,West,4.15,0
S00090,3,3,1,1,Mobile,Organic Search,East,4.066666666666666,0
S00091,2,2,2,1,Desktop,Direct,South,0.7333333333333333,0
S00092,4,4,1,1,Mobile,Social,South,3.9833333333333334,0
S00093,4,3,1,2,Mobile,Direct,North,2.8,0
S00094,3,3,2,1,Mobile,Paid Search,Central,3.0,0
